Country,GDP_Impact_Pct,Oil_Import_Pct,$120/barrel,$150/barrel,$200/barrel
Pakistan,-1.8,85,-2.08,-2.6,-3.46
India,-1.2,85,-1.38,-1.73,-2.31
Bangladesh,-2.0,95,-2.31,-2.88,-3.85
Sri Lanka,-2.5,100,-2.88,-3.61,-4.81
Nepal,-1.5,100,-1.73,-2.16,-2.88
China,-0.8,72,-0.92,-1.15,-1.54
Japan,-1.3,90,-1.5,-1.88,-2.5
South Korea,-1.4,92,-1.62,-2.02,-2.69
Turkey,-1.6,89,-1.85,-2.31,-3.08
Germany,-0.6,65,-0.69,-0.87,-1.15
United Kingdom,-0.5,45,-0.58,-0.72,-0.96
USA,-0.3,5,-0.35,-0.43,-0.58
Saudi Arabia,1.5,0,1.73,2.16,2.88
UAE,0.8,0,0.92,1.15,1.54
Iran,-8.0,0,-9.23,-11.54,-15.38
Australia,-0.7,70,-0.81,-1.01,-1.35
Egypt,-1.5,40,-1.73,-2.16,-2.88
